Concentration_percent,ConcentrationType,ControlType,Replicate,Time_hr,Dead,TotalAlive,NumberExposed,MortalityRate
0,None,Control,1,24,0,5,5,0
0,None,Control,2,24,0,5,5,0
0,None,Control,3,24,0,5,5,0
0,None,Control,1,48,1,4,5,0.2
0,None,Control,2,48,1,4,5,0.2
0,None,Control,3,48,0,5,5,0
0.1,High (×1),DMSO,1,24,0,5,5,0
0.1,High (×1),DMSO,2,24,0,5,5,0
0.1,High (×1),DMSO,3,24,0,5,5,0
0.1,High (×1),DMSO,1,48,1,4,5,0.2
0.1,High (×1),DMSO,2,48,0,5,5,0
0.1,High (×1),DMSO,3,48,2,3,5,0.4
0.1,High (×1),Sunscreen,1,24,5,0,5,1
0.1,High (×1),Sunscreen,2,24,5,0,5,1
0.1,High (×1),Sunscreen,3,24,5,0,5,1
0.1,High (×1),Sunscreen,1,48,5,0,5,1
0.1,High (×1),Sunscreen,2,48,5,0,5,1
0.1,High (×1),Sunscreen,3,48,5,0,5,1
0.0333,Medium (×1/3),Sunscreen,1,24,5,0,5,1
0.0333,Medium (×1/3),Sunscreen,2,24,1,4,5,0.2
0.0333,Medium (×1/3),Sunscreen,3,24,2,3,5,0.4
0.0333,Medium (×1/3),Sunscreen,1,48,5,0,5,1
0.0333,Medium (×1/3),Sunscreen,2,48,4,1,5,0.8
0.0333,Medium (×1/3),Sunscreen,3,48,3,2,5,0.6
0.01,Low (×1/10),Sunscreen,1,24,0,5,5,0
0.01,Low (×1/10),Sunscreen,2,24,1,4,5,0.2
0.01,Low (×1/10),Sunscreen,3,24,1,4,5,0.2
0.01,Low (×1/10),Sunscreen,1,48,2,3,5,0.4
0.01,Low (×1/10),Sunscreen,2,48,2,3,5,0.4
0.01,Low (×1/10),Sunscreen,3,48,1,4,5,0.2
0.0033,Very Low (×1/30),Sunscreen,1,24,3,2,5,0.6
0.0033,Very Low (×1/30),Sunscreen,2,24,1,4,5,0.2
0.0033,Very Low (×1/30),Sunscreen,3,24,0,5,5,0
0.0033,Very Low (×1/30),Sunscreen,1,48,4,1,5,0.8
0.0033,Very Low (×1/30),Sunscreen,2,48,1,4,5,0.2
0.0033,Very Low (×1/30),Sunscreen,3,48,1,4,5,0.2
